feature1,feature2,correlation,abs_corr
interval_neg_ratio,contour_down_ratio,1.0,1.0
interval_pos_ratio,contour_up_ratio,1.0,1.0
interval_std,interval_abs_std,0.9962730819400549,0.9962730819400549
ioi_mean,ioi_std,0.9314750623347569,0.9314750623347569
ioi_std,ioi_max,0.9310713882542406,0.9310713882542406
interval_std,interval_abs_mean,0.914869739829151,0.914869739829151
interval_abs_mean,interval_abs_std,0.8770090305617627,0.8770090305617627
mfcc_std_2,mfcc_delta_std_2,0.8618055647536865,0.8618055647536865
mfcc_std_3,mfcc_delta_std_3,0.8533197033141591,0.8533197033141591
mfcc_std_1,mfcc_delta_std_1,0.8337219212728031,0.8337219212728031
contour_down_ratio,contour_flat_ratio,-0.8329135516803797,0.8329135516803797
interval_neg_ratio,contour_flat_ratio,-0.8329135516803797,0.8329135516803797
mfcc_std_9,mfcc_delta_std_9,0.8256089043765902,0.8256089043765902
interval_iqr,contour_flat_ratio,-0.8092075961005223,0.8092075961005223
mfcc_std_11,mfcc_delta_std_11,0.8080610195707013,0.8080610195707013
mfcc_std_13,mfcc_delta_std_13,0.7969301380302017,0.7969301380302017
contour_flat_ratio,voiced_ratio,-0.7948839472290667,0.7948839472290667
ioi_mean,ioi_max,0.7910235443535969,0.7910235443535969
contour_up_ratio,contour_flat_ratio,-0.7871099604603284,0.7871099604603284
interval_pos_ratio,contour_flat_ratio,-0.7871099604603284,0.7871099604603284
mfcc_std_12,mfcc_delta_std_12,0.7866744896107137,0.7866744896107137
mfcc_delta_std_12,mfcc_delta_std_13,0.7865269214723988,0.7865269214723988
mfcc_std_6,mfcc_delta_std_6,0.782538732983482,0.782538732983482
mfcc_std_5,mfcc_delta_std_5,0.7716134800596538,0.7716134800596538
mfcc_std_4,mfcc_delta_std_4,0.7715897450548331,0.7715897450548331
mfcc_std_10,mfcc_delta_std_10,0.761156111722912,0.761156111722912
mfcc_std_7,mfcc_delta_std_7,0.7572901886711899,0.7572901886711899
mfcc_delta_std_11,mfcc_delta_std_13,0.7509950169181758,0.7509950169181758
mfcc_std_8,mfcc_delta_std_8,0.7431156301429576,0.7431156301429576
mfcc_delta_std_11,mfcc_delta_std_12,0.7427867454333094,0.7427867454333094
mfcc_std_10,mfcc_std_11,0.7411653952829059,0.7411653952829059
mfcc_std_12,mfcc_std_13,0.7363071630603698,0.7363071630603698
f0n_min,voiced_ratio,-0.7318138933669569,0.7318138933669569
mfcc_std_11,mfcc_std_12,0.7303384413845119,0.7303384413845119
mfcc_std_11,mfcc_std_13,0.7167347803704718,0.7167347803704718
interval_max,interval_abs_std,0.7091581987310269,0.7091581987310269
mfcc_delta_std_1,mfcc_delta_std_2,0.7060908294030432,0.7060908294030432
mfcc_delta_mean_1,mfcc_delta_mean_2,0.7042503371387387,0.7042503371387387
